validations_per_hour,validations_per_hour_predicted
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,18.56
0,0.0
0,0.0
0,0.0
0,0.0
0,0.09
0,0.0
0,0.0
0,0.04
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,7.03
0,0.0
0,0.0
0,0.0
0,0.0
0,0.09
0,0.0
0,0.0
0,0.0
10,4.48
22,16.68
30,68.23
16,31.64
30,23.47
28,46.22
37,42.82
22,44.22
16,32.42
19,26.26
42,24.75
41,22.76
58,38.12
38,43.06
24,44.06
26,25.99
14,23.58
15,21.29
7,5.05
11,0.32
26,16.68
101,85.81
165,173.95
128,85.25
52,64.59
57,55.53
45,49.62
74,63.34
98,85.27
62,66.19
54,51.34
53,44.15
73,72.75
104,75.62
75,78.28
58,44.28
27,23.78
32,20.35
16,4.83
28,17.47
126,86.51
240,183.44
106,86.34
66,65.59
51,57.64
50,64.72
82,60.81
115,87.01
65,65.89
47,52.93
42,49.05
96,84.74
97,77.67
107,91.42
50,49.81
26,25.24
28,20.31
22,5.92
3,0.0
24,16.83
108,86.75
226,190.68
96,87.58
49,63.18
55,47.4
42,50.11
68,59.73
100,84.28
47,65.27
47,52.99
61,47.43
61,87.98
88,88.5
85,88.72
49,48.94
18,25.48
23,21.43
7,6.63
3,0.0
27,17.09
97,88.86
197,189.0
121,88.22
55,66.61
68,67.63
50,67.01
94,65.15
107,88.16
58,66.64
48,55.87
57,51.33
74,96.06
91,94.71
91,92.45
48,71.67
26,25.44
21,20.28
18,5.37
3,0.03
25,23.41
111,83.26
231,74.46
99,89.3
64,65.02
52,48.39
48,51.42
79,64.35
89,83.51
54,66.63
52,52.54
55,50.91
74,92.3
110,89.63
91,90.03
54,50.86
27,25.75
17,21.4
19,6.75
1,0.01
17,16.15
44,41.02
68,65.79
68,68.49
54,35.83
49,41.18
62,51.33
55,42.46
52,54.0
51,50.12
40,43.95
52,49.92
50,44.35
42,40.55
67,46.73
47,49.14
28,24.67
26,19.96
27,20.73
8,0.01
12,4.11
22,19.31
48,63.03
26,41.9
43,23.6
43,41.49
36,44.7
51,44.43
58,34.3
42,26.99
20,28.5
32,24.84
42,39.21
21,46.08
22,43.61
25,34.15
19,25.56
8,21.04
4,4.91
2,0.09
30,23.51
101,86.18
223,190.75
113,87.87
94,63.61
49,47.4
51,48.53
85,64.2
100,88.4
69,64.94
51,53.04
55,43.84
82,75.25
114,74.41
110,84.52
57,44.51
19,25.31
24,20.41
14,4.73
2,0.0
26,17.82
102,86.79
208,192.33
123,88.39
73,64.38
63,47.53
51,50.73
63,61.21
124,89.94
79,64.37
54,48.99
38,46.8
88,85.87
129,87.98
93,89.78
33,49.2
16,25.2
16,19.43
6,5.43
3,0.01
33,17.57
112,87.78
232,192.44
98,88.98
77,64.26
45,45.99
40,49.76
85,60.86
97,90.0
66,64.11
56,48.69
61,47.98
88,87.66
114,94.31
87,90.04
39,47.52
27,25.86
22,20.44
9,6.58
5,0.0
23,17.57
103,88.43
225,190.31
102,88.49
51,67.82
68,47.35
41,51.75
90,56.34
112,90.07
55,65.18
55,53.98
40,55.24
75,96.63
98,97.14
107,101.23
52,66.25
25,28.13
32,20.13
12,5.26
5,0.0
30,19.64
89,85.7
160,78.73
102,90.19
57,66.38
52,44.92
46,53.25
58,64.26
95,85.07
48,65.83
57,51.25
43,51.1
79,87.53
91,94.71
83,90.33
53,52.23
27,26.37
24,20.78
10,6.9
1,0.02
17,17.33
31,39.93
70,64.98
88,67.7
65,34.09
37,40.98
59,50.87
40,42.28
49,48.01
28,50.35
31,44.33
52,51.03
34,43.22
43,46.44
49,46.21
40,48.98
25,25.48
22,20.01
11,21.42
2,0.0
1,0.09
4,7.05
26,17.36
26,62.58
44,45.15
30,24.23
37,40.79
48,41.46
23,45.36
20,34.27
41,26.96
43,25.28
32,25.13
47,36.56
51,39.94
40,44.13
30,26.28
29,26.09
24,21.45
8,3.56
2,0.09
