validations_per_hour,validations_per_hour_predicted
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
8,25.315
18,9.574666666666667
222,176.35
317,419.59
358,418.28
200,217.21
200,206.6
203,227.15
173,226.28
155,222.22
239,203.45
225,221.06
256,282.55
415,420.38
536,501.95
327,284.94
155,168.36
60,77.39
68,67.04
47,53.34
20,25.315
5,22.01366666666667
17,11.410333333333334
222,202.09
385,418.59
378,418.62
196,193.65
190,194.85
178,198.24
157,199.09
210,199.02
195,194.98
205,196.64
239,267.98
330,421.28
495,494.53
340,291.97
169,164.95
82,77.13
46,61.11
44,52.25
11,22.01366666666667
7,26.585
28,10.629666666666667
205,171.29
402,420.52
362,413.82
242,204.05
163,202.99
186,204.24
209,204.01
188,203.5
174,200.81
170,200.32
236,359.78
378,422.11
628,508.26
407,272.56
230,160.73
74,76.08
25,60.99
63,51.91
14,26.585
7,21.787666666666663
29,12.624333333333334
214,171.29
376,408.97
376,414.78
214,203.31
200,202.59
167,206.33
208,203.31
230,205.61
172,203.48
203,204.23
258,293.62
383,410.68
487,495.31
407,260.9
186,160.39
82,77.38
48,61.55
54,53.66
20,21.787666666666663
8,21.669666666666668
27,10.251333333333335
233,172.14
388,416.49
415,415.03
278,191.9
210,192.99
226,198.55
225,198.48
205,201.56
206,198.56
235,189.91
289,366.91
469,440.98
515,493.59
414,209.6
192,158.52
98,77.47
56,60.34
71,51.45
25,21.669666666666668
12,21.473000000000003
11,11.16
117,93.64
303,221.25
364,207.15
298,158.34
252,109.07
167,110.28
166,111.52
270,154.55
236,123.92
183,155.9
243,194.23
264,167.2
300,157.5
162,160.84
172,111.05
94,83.0
75,64.63
62,55.31
25,21.473000000000003
6,21.272999999999996
5,11.42
52,54.91
112,112.16
122,103.17
61,66.64
66,55.13
42,48.2
50,47.33
55,50.88
76,50.6
68,68.9
125,88.51
124,81.79
158,81.04
112,79.2
82,69.88
41,50.71
61,48.7
52,52.33
23,21.272999999999996
4,23.76366666666667
28,10.546333333333335
267,175.26
396,418.1
435,416.61
232,217.99
249,218.47
305,222.22
229,222.9
257,206.44
252,220.75
252,204.94
269,275.06
442,418.21
588,501.78
403,279.74
238,167.93
171,78.2
66,61.33
72,54.25
10,23.76366666666667
6,20.44366666666667
26,11.445333333333332
244,203.43
411,416.32
452,416.66
283,194.73
241,186.83
239,198.37
265,191.94
257,198.27
213,196.29
285,194.37
316,266.91
429,416.43
589,493.61
457,293.26
193,163.66
162,77.06
48,63.26
48,53.75
20,20.44366666666667
7,23.169666666666668
27,10.769666666666668
234,170.25
439,414.6
443,410.7
249,204.06
201,195.37
215,191.6
299,196.89
260,203.22
233,202.36
274,202.94
260,357.65
430,417.64
649,504.87
478,269.6
184,157.74
155,76.99
83,53.32
56,52.57
14,23.169666666666668
6,20.600999999999996
19,12.969333333333333
204,170.8
380,393.14
379,405.45
261,205.7
190,192.52
192,193.72
227,194.55
198,200.56
165,191.66
236,205.99
256,294.17
345,409.68
517,492.41
402,261.63
243,159.17
129,78.1
81,53.61
46,53.91
21,20.600999999999996
12,21.664666666666662
21,11.386333333333335
243,172.8
401,370.79
439,380.12
249,193.01
146,161.61
279,194.61
272,190.73
257,200.39
257,197.62
248,195.75
329,363.41
489,402.86
567,492.13
433,210.81
200,157.43
179,78.77
89,52.77
63,51.94
33,21.664666666666662
9,23.116333333333333
11,11.033333333333335
159,102.32
384,223.63
445,214.84
316,159.38
242,108.0
273,109.64
331,112.96
354,152.96
282,127.18
251,154.55
255,193.63
313,165.35
335,156.39
257,160.43
195,108.66
214,84.38
120,55.64
89,55.02
36,23.116333333333333
7,18.613
2,10.783333333333335
61,62.29
128,112.33
160,92.51
98,62.55
80,51.72
96,52.16
147,46.23
102,49.99
99,50.15
109,69.18
132,87.25
116,82.97
123,82.11
121,79.44
111,72.7
156,50.02
75,47.08
53,53.21
20,18.613
