validations_per_hour,validations_per_hour_predicted
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,4.22
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,26.06
20,28.09
213,212.51
414,357.97
410,360.41
222,207.7
254,198.64
278,189.31
260,189.37
284,187.29
267,189.84
296,192.54
336,211.69
358,362.6
518,596.32
337,333.51
227,168.38
121,74.98
81,27.09
73,33.31
23,26.06
11,26.22
28,27.2
203,211.1
443,352.14
401,361.53
256,201.19
252,195.02
247,197.95
225,197.77
281,205.18
244,201.5
252,203.14
297,244.13
418,370.03
482,559.68
330,323.39
255,166.4
103,75.9
91,45.75
61,45.82
37,26.22
10,24.73
25,27.62
233,210.27
482,372.48
486,377.88
231,209.73
275,197.05
296,191.07
274,191.89
307,193.08
283,200.18
330,206.73
330,264.04
453,381.63
532,560.72
333,358.23
192,179.63
116,76.88
98,49.81
78,52.47
23,24.73
14,26.42
7,28.03
114,209.64
238,327.44
243,345.36
205,210.37
140,203.85
150,202.87
151,200.1
205,209.13
158,207.63
192,206.52
203,246.4
242,298.11
186,304.78
175,211.5
148,170.68
88,74.74
98,50.64
73,50.02
39,26.42
14,25.33
59,67.91
162,92.19
149,86.93
68,67.51
77,61.94
57,40.39
48,44.5
71,58.52
58,68.87
61,73.9
148,86.51
111,111.9
94,102.47
114,101.62
77,131.45
58,77.6
64,50.37
44,50.14
25,25.33
8,25.29
26,28.03
209,226.76
435,366.59
452,383.91
269,223.84
367,214.3
290,200.67
310,202.26
341,209.53
312,218.56
317,213.46
360,263.02
440,403.71
560,554.0
348,379.46
225,175.65
102,79.17
84,57.04
63,56.37
20,25.29
3,26.46
26,28.32
288,222.92
445,367.28
452,384.69
233,212.96
254,207.99
289,194.45
290,197.07
249,211.83
265,206.29
258,202.53
357,267.84
405,388.1
460,556.75
334,390.51
222,170.61
116,87.89
83,49.82
57,49.06
34,26.46
4,25.88
28,27.77
205,220.79
386,380.47
444,375.46
266,247.33
216,206.97
252,190.76
255,212.28
309,214.69
270,201.87
275,205.07
355,254.56
386,400.24
455,609.1
339,384.66
168,206.05
100,85.7
89,45.79
56,45.33
37,25.88
11,26.17
29,28.45
212,217.98
396,362.06
471,375.56
247,220.54
225,210.73
242,197.77
266,206.25
295,215.19
298,204.12
274,206.74
370,250.98
406,379.46
501,560.49
318,387.3
195,212.32
109,87.53
81,52.05
87,52.29
30,26.17
8,24.36
2,27.14
103,223.35
152,386.56
185,396.04
91,247.08
104,215.65
83,204.3
81,214.37
105,218.49
95,209.93
110,212.65
149,279.83
115,417.96
197,561.79
122,391.89
104,213.42
75,85.42
74,60.76
39,60.07
32,24.36
7,26.63
3,28.78
109,219.48
286,326.11
226,386.17
170,233.52
118,215.87
131,206.74
102,218.91
186,213.78
143,214.6
170,213.72
245,273.9
220,294.3
197,299.95
135,213.35
119,218.75
100,88.53
54,74.44
84,55.36
32,26.63
14,26.18
1,3.16
51,72.88
122,98.77
100,112.59
63,98.54
74,69.8
53,65.4
44,69.28
77,65.23
61,71.2
122,83.26
106,100.1
83,119.41
97,117.38
95,103.46
83,126.66
41,94.0
49,73.93
55,50.8
37,26.18
5,25.83
28,28.43
202,218.48
411,381.17
402,404.09
202,222.38
251,224.03
290,217.85
299,237.46
307,232.0
232,215.69
263,247.19
307,271.93
460,400.8
448,585.94
313,387.63
218,210.64
109,144.72
57,75.76
62,55.5
26,25.83
1,27.678
28,29.26
224,215.38
412,384.59
418,413.02
282,239.34
275,217.5
288,207.42
234,247.63
250,250.03
243,210.47
281,236.47
277,269.02
404,400.31
526,613.58
339,388.4
186,209.44
105,142.93
81,81.09
58,67.28
25,27.678
3,27.19
27,28.98
224,242.98
383,387.66
443,403.67
243,244.24
240,215.43
224,208.16
252,247.73
230,248.94
215,232.45
267,247.39
312,269.54
444,402.89
496,620.32
313,386.14
198,208.26
104,144.81
70,75.75
71,61.76
27,27.19
9,26.71
29,28.758000000000003
212,219.11
381,390.29
441,388.07
269,246.02
293,241.16
240,242.64
186,257.57
221,279.76
232,248.63
231,259.04
322,287.39
369,396.42
494,589.24
356,386.28
208,209.53
102,140.39
72,82.87
60,78.81
30,26.71
8,26.788
27,28.558000000000003
224,214.73
378,402.05
340,411.27
250,212.96
231,239.28
251,253.93
247,249.11
281,279.27
272,253.41
298,280.43
331,321.16
489,437.99
477,592.68
318,390.68
226,210.84
113,173.4
88,81.3
64,73.14
29,26.788
7,28.573
5,29.438000000000002
132,217.42
252,377.7
284,418.35
223,262.67
140,252.86
129,247.27
136,280.97
192,287.2
149,249.66
180,264.08
220,289.41
208,309.94
196,305.33
190,246.41
154,217.03
89,163.98
81,76.16
71,75.02
21,28.573
16,26.85
2,3.21
76,75.86
155,112.52
131,122.73
73,119.54
57,83.53
39,78.88
53,98.78
66,75.63
69,76.53
69,87.37
132,116.64
108,121.96
104,122.3
100,105.67
80,116.83
48,115.27
45,78.81
43,54.98
29,26.85
